epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4427,2.36688,5.40397,1.70406,0.00611,0.35344,0.02652,0.0156,1.29405,4.46676,0.92638,0.00015,0.00015,0.00015
2,27.4601,1.31467,3.70025,0.99888,0.00433,0.57321,0.08455,0.0301,1.41584,4.39929,1.01064,0.000308465,0.000308465,0.000308465
3,33.4016,1.2678,3.02829,0.98583,0.00679,0.70146,0.09544,0.0422,1.40844,4.26684,0.98949,0.000465347,0.000465347,0.000465347
4,39.5222,1.2012,2.44384,0.98033,0.00385,0.46468,0.13264,0.06412,1.26589,4.09395,0.98531,0.000620644,0.000620644,0.000620644
5,45.637,1.18841,2.17348,0.97703,0.00711,0.83796,0.66688,0.37255,1.34134,3.58324,1.02898,0.000774358,0.000774358,0.000774358
6,51.6779,1.18599,1.86114,1.00054,1,0.20548,0.87791,0.50654,1.33829,2.86099,1.02317,0.000926487,0.000926487,0.000926487
7,57.253,1.12433,1.7604,0.96602,0.94607,0.60992,0.95503,0.5982,1.206,2.25282,0.97304,0.0009703,0.0009703,0.0009703
8,63.1323,1.06753,1.54719,0.94099,0.87171,0.76894,0.94173,0.65495,1.08264,1.7109,0.95637,0.00096535,0.00096535,0.00096535
9,68.2921,1.094,1.52838,0.97216,0.85243,0.89333,0.96631,0.67839,1.05233,1.22958,0.94064,0.0009604,0.0009604,0.0009604
10,73.4429,1.04673,1.43488,0.95182,0.87402,0.73539,0.97585,0.67454,1.12098,1.30509,0.96587,0.00095545,0.00095545,0.00095545
11,78.3544,1.02709,1.3166,0.94271,0.88889,0.85562,0.97291,0.71886,0.98648,0.98622,0.92107,0.0009505,0.0009505,0.0009505
12,83.6846,0.99616,1.24618,0.94166,0.92873,0.90382,0.98052,0.73407,0.96942,0.82619,0.91169,0.00094555,0.00094555,0.00094555
13,89.2622,0.98173,1.30131,0.93081,0.95902,0.92676,0.97818,0.73034,0.99936,0.76139,0.91934,0.0009406,0.0009406,0.0009406
14,94.577,0.98028,1.17589,0.94793,0.92241,0.93252,0.98845,0.71179,1.06105,0.80886,0.93873,0.00093565,0.00093565,0.00093565
15,100.033,0.95359,1.14751,0.91959,0.91392,0.93664,0.99317,0.67886,1.17418,0.80239,0.96744,0.0009307,0.0009307,0.0009307
16,105.598,0.94296,1.10607,0.90913,0.98395,0.98016,0.995,0.63236,1.33112,0.72272,1.02965,0.00092575,0.00092575,0.00092575
17,111.233,0.94398,1.06663,0.9296,0.98935,0.98227,0.995,0.69234,1.10203,0.69226,0.94601,0.0009208,0.0009208,0.0009208
18,116.398,0.95035,1.08257,0.91967,0.95206,0.99297,0.98944,0.70659,1.04285,0.66427,0.94194,0.00091585,0.00091585,0.00091585
19,121.453,0.97023,1.0541,0.923,0.94648,0.9783,0.97833,0.60661,1.29124,0.70624,1.0624,0.0009109,0.0009109,0.0009109
20,127.391,0.92439,1.01452,0.91798,0.95739,0.94305,0.98611,0.68861,1.09044,0.69767,0.95064,0.00090595,0.00090595,0.00090595
21,133.434,0.95632,0.99876,0.91578,0.91028,0.95495,0.96468,0.72951,0.91467,0.76474,0.89921,0.000901,0.000901,0.000901
22,139.431,0.91459,1.00314,0.91259,0.94794,0.9285,0.98211,0.75617,0.92941,0.7137,0.89771,0.00089605,0.00089605,0.00089605
23,145.494,0.91859,0.9269,0.91473,0.91314,0.97921,0.96306,0.70897,0.94126,0.69983,0.90255,0.0008911,0.0008911,0.0008911
24,151.581,0.89593,0.88252,0.90292,0.9323,0.97658,0.97595,0.74138,0.90018,0.6386,0.8917,0.00088615,0.00088615,0.00088615
