epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,157.646,0.88771,0.87635,0.89941,0.95494,0.99682,0.995,0.7902,0.82637,0.62326,0.87494,0.0008812,0.0008812,0.0008812
26,163.596,0.89789,0.9095,0.92013,0.91821,0.99213,0.995,0.7546,0.91865,0.64731,0.89812,0.00087625,0.00087625,0.00087625
27,169.579,0.92188,0.88832,0.92081,0.94279,0.9959,0.98389,0.70796,0.9957,0.59783,0.93034,0.0008713,0.0008713,0.0008713
28,174.738,0.85368,0.83872,0.90126,0.94739,0.97169,0.995,0.76515,0.94451,0.59876,0.89875,0.00086635,0.00086635,0.00086635
29,180.106,0.86364,0.82883,0.90495,0.95899,0.98458,0.995,0.77538,0.96385,0.64272,0.90909,0.0008614,0.0008614,0.0008614
30,184.956,0.86652,0.83676,0.90266,0.95072,0.98459,0.995,0.76082,0.96988,0.59755,0.90499,0.00085645,0.00085645,0.00085645
31,190.248,0.86644,0.83271,0.91494,0.98392,0.97617,0.995,0.75082,0.96451,0.60479,0.91544,0.0008515,0.0008515,0.0008515
32,195.861,0.89788,0.82883,0.91981,0.94089,0.9686,0.995,0.77384,0.87317,0.57326,0.87844,0.00084655,0.00084655,0.00084655
33,201.293,0.90279,0.80784,0.92301,0.9613,0.99035,0.995,0.75009,0.93536,0.55165,0.90468,0.0008416,0.0008416,0.0008416
34,206.795,0.84367,0.7669,0.91667,0.93966,0.9933,0.995,0.75341,0.93688,0.5693,0.90077,0.00083665,0.00083665,0.00083665
35,211.601,0.84146,0.75672,0.89289,0.94206,0.98792,0.97833,0.74786,0.90517,0.57922,0.89018,0.0008317,0.0008317,0.0008317
36,216.316,0.85792,0.77086,0.89946,0.93467,0.95943,0.97833,0.70563,1.02258,0.62224,0.95219,0.00082675,0.00082675,0.00082675
37,221.629,0.86038,0.73465,0.90973,0.98456,0.93032,0.995,0.76649,0.8971,0.55157,0.8849,0.0008218,0.0008218,0.0008218
38,227.185,0.82721,0.73505,0.89302,0.94203,0.97473,0.995,0.80289,0.82684,0.56234,0.8655,0.00081685,0.00081685,0.00081685
39,233.05,0.90195,0.74011,0.93541,0.96969,0.97579,0.995,0.68728,1.09359,0.60711,0.97079,0.0008119,0.0008119,0.0008119
40,238.794,0.85627,0.71271,0.91015,0.97211,0.96857,0.995,0.74649,0.94663,0.56737,0.90052,0.00080695,0.00080695,0.00080695
41,244.651,0.8432,0.70317,0.88885,0.93078,0.99335,0.97278,0.75628,0.90254,0.59008,0.88403,0.000802,0.000802,0.000802
42,250.541,0.82615,0.68067,0.88655,0.93854,0.96714,0.95675,0.78145,0.81383,0.5603,0.86701,0.00079705,0.00079705,0.00079705
43,256.493,0.81087,0.68344,0.89779,0.95914,0.96519,0.96736,0.7207,0.94251,0.59065,0.89805,0.0007921,0.0007921,0.0007921
44,262.514,0.93109,0.73309,0.90862,0.93786,0.99241,0.96736,0.73025,0.92407,0.60047,0.89858,0.00078715,0.00078715,0.00078715
45,268.499,0.86517,0.68686,0.89367,0.94505,0.99798,0.97833,0.75391,0.86722,0.56145,0.88365,0.0007822,0.0007822,0.0007822
46,274.607,0.81935,0.66724,0.89,0.95596,0.99282,0.995,0.79475,0.8403,0.55672,0.8684,0.00077725,0.00077725,0.00077725
47,280.607,0.81697,0.67059,0.89455,0.95003,0.99641,0.97833,0.76973,0.81774,0.54613,0.85968,0.0007723,0.0007723,0.0007723
48,286.682,0.81586,0.65745,0.88803,0.93042,0.99439,0.97278,0.72772,0.94314,0.57642,0.9236,0.00076735,0.00076735,0.00076735
49,292.578,0.84993,0.66064,0.89809,0.9399,0.99066,0.97278,0.79404,0.7861,0.56157,0.8753,0.0007624,0.0007624,0.0007624
50,298.457,0.86123,0.65538,0.89048,0.95334,0.99934,0.995,0.71167,0.99088,0.56718,0.91113,0.00075745,0.00075745,0.00075745
51,304.385,0.82049,0.63188,0.89762,0.95697,0.98943,0.995,0.80865,0.78569,0.52848,0.85235,0.0007525,0.0007525,0.0007525
52,310.068,0.80414,0.63884,0.88435,0.95415,0.99233,0.97833,0.73968,0.91675,0.52765,0.89696,0.00074755,0.00074755,0.00074755
53,316.06,0.81208,0.61178,0.88358,0.96187,0.99465,0.97833,0.77928,0.83351,0.5156,0.86706,0.0007426,0.0007426,0.0007426
54,322.064,0.80922,0.61782,0.88649,0.95453,0.995,0.97833,0.69732,1.01304,0.53603,0.92281,0.00073765,0.00073765,0.00073765
55,328.074,0.80599,0.61496,0.88334,0.95118,0.99616,0.98389,0.74339,0.93611,0.52716,0.90557,0.0007327,0.0007327,0.0007327
56,334.09,0.78086,0.61934,0.88172,0.95929,0.98834,0.98389,0.78453,0.80538,0.49014,0.86641,0.00072775,0.00072775,0.00072775
57,340.13,0.80748,0.60887,0.88391,0.95806,0.99386,0.98944,0.7345,1.0122,0.52658,0.93044,0.0007228,0.0007228,0.0007228
58,345.884,0.80028,0.5911,0.88387,0.94348,0.9846,0.98944,0.80854,0.77227,0.50046,0.85667,0.00071785,0.00071785,0.00071785
59,351.751,0.83293,0.60782,0.88247,0.938,0.97963,0.97833,0.7482,0.88562,0.52098,0.88997,0.0007129,0.0007129,0.0007129
60,357.743,0.77925,0.59093,0.88015,0.9551,0.99391,0.97278,0.79024,0.75622,0.47531,0.8502,0.00070795,0.00070795,0.00070795
61,363.76,0.75483,0.57726,0.86056,0.95461,0.9861,0.97833,0.78949,0.79,0.49592,0.85254,0.000703,0.000703,0.000703
62,369.729,0.76308,0.56636,0.87488,0.95589,0.99638,0.98389,0.78243,0.81151,0.48148,0.86532,0.00069805,0.00069805,0.00069805
63,375.671,0.74188,0.54349,0.87684,0.94986,0.99556,0.995,0.74773,0.90914,0.50422,0.90088,0.0006931,0.0006931,0.0006931
64,381.591,0.7697,0.56037,0.89172,0.95765,0.99773,0.98389,0.73113,0.92216,0.5023,0.89314,0.00068815,0.00068815,0.00068815
65,387.542,0.75868,0.55659,0.8832,0.96882,1,0.995,0.77999,0.84229,0.4801,0.87339,0.0006832,0.0006832,0.0006832
66,393.597,0.7512,0.58486,0.86768,0.95717,0.98953,0.98944,0.76485,0.93097,0.49388,0.88931,0.00067825,0.00067825,0.00067825
67,399.54,0.75389,0.57143,0.86813,0.94761,0.98996,0.98944,0.79677,0.80168,0.47296,0.86084,0.0006733,0.0006733,0.0006733
68,405.484,0.76388,0.57081,0.87888,0.95546,0.9876,0.98944,0.80008,0.7893,0.49173,0.85316,0.00066835,0.00066835,0.00066835
69,411.427,0.74779,0.57303,0.85828,0.96375,0.98394,0.995,0.79755,0.81592,0.49326,0.86243,0.0006634,0.0006634,0.0006634
70,417.431,0.78019,0.57999,0.88641,0.96319,0.98873,0.98944,0.80679,0.78158,0.52697,0.85282,0.00065845,0.00065845,0.00065845
71,423.012,0.73735,0.56333,0.87203,0.95784,0.99672,0.98389,0.80073,0.76924,0.46792,0.8496,0.0006535,0.0006535,0.0006535
72,427.96,0.73459,0.55038,0.87414,0.94431,0.98883,0.98944,0.8008,0.80602,0.47503,0.85581,0.00064855,0.00064855,0.00064855
73,432.956,0.73453,0.5202,0.86044,0.95434,0.9958,0.97833,0.75011,0.9263,0.5146,0.8988,0.0006436,0.0006436,0.0006436
74,438.288,0.78077,0.55722,0.88168,0.95193,0.99293,0.97833,0.79359,0.78915,0.4815,0.86229,0.00063865,0.00063865,0.00063865
75,443.306,0.76825,0.5261,0.87255,0.95885,0.99413,0.995,0.79771,0.79427,0.48137,0.8579,0.0006337,0.0006337,0.0006337
76,447.772,0.71067,0.52223,0.86296,0.94217,0.99116,0.98389,0.79313,0.79542,0.4893,0.86142,0.00062875,0.00062875,0.00062875
77,453.253,0.71131,0.51389,0.8622,0.94163,0.98266,0.97278,0.79663,0.74733,0.49624,0.84875,0.0006238,0.0006238,0.0006238
78,458.642,0.7422,0.5204,0.86222,0.94004,0.98425,0.95898,0.76788,0.78431,0.50082,0.86263,0.00061885,0.00061885,0.00061885
79,464.303,0.74609,0.53781,0.8724,0.94617,1,0.96736,0.7761,0.81217,0.48885,0.86505,0.0006139,0.0006139,0.0006139
80,469.042,0.73017,0.53126,0.85673,0.95692,0.98976,0.96736,0.756,0.83673,0.48612,0.87376,0.00060895,0.00060895,0.00060895
81,474.313,0.73117,0.52353,0.86198,0.96149,0.98356,0.97833,0.75929,0.85888,0.47971,0.87508,0.000604,0.000604,0.000604
82,479.262,0.70745,0.49823,0.86217,0.95666,0.99701,0.97833,0.7286,0.95561,0.48031,0.90833,0.00059905,0.00059905,0.00059905
83,484.477,0.71167,0.52586,0.85495,0.95598,0.98271,0.995,0.78309,0.8419,0.45751,0.87148,0.0005941,0.0005941,0.0005941
84,489.948,0.72549,0.51402,0.86028,0.95613,0.9963,0.995,0.78029,0.83326,0.44682,0.87385,0.00058915,0.00058915,0.00058915
85,495.513,0.72449,0.50455,0.86682,0.96309,1,0.97833,0.77478,0.81122,0.4429,0.86783,0.0005842,0.0005842,0.0005842
86,500.996,0.7351,0.50274,0.86936,0.96146,1,0.97278,0.77152,0.80667,0.44009,0.86811,0.00057925,0.00057925,0.00057925
87,506.572,0.73452,0.51421,0.87379,0.96079,0.99713,0.96736,0.77142,0.77318,0.45345,0.86225,0.0005743,0.0005743,0.0005743
88,512.175,0.73122,0.49839,0.85991,0.95483,0.99269,0.96736,0.78423,0.78942,0.46707,0.86272,0.00056935,0.00056935,0.00056935
89,517.72,0.69072,0.48496,0.85697,0.96251,0.9918,0.97278,0.7718,0.80541,0.45301,0.87465,0.0005644,0.0005644,0.0005644
90,523.179,0.7243,0.49754,0.85511,0.96209,1,0.96736,0.71117,0.96287,0.49546,0.92061,0.00055945,0.00055945,0.00055945
91,527.446,0.78228,0.52353,0.86826,0.94939,0.98097,0.96736,0.76319,0.79758,0.49555,0.86179,0.0005545,0.0005545,0.0005545
92,532.86,0.75832,0.51821,0.87459,0.9499,1,0.96736,0.77997,0.75291,0.47173,0.84357,0.00054955,0.00054955,0.00054955
93,538.387,0.75923,0.51441,0.87104,0.95398,1,0.96736,0.77753,0.76086,0.46078,0.84473,0.0005446,0.0005446,0.0005446
94,544.057,0.73388,0.50066,0.85557,0.95708,1,0.97278,0.77991,0.78308,0.46923,0.85416,0.00053965,0.00053965,0.00053965
95,549.552,0.70844,0.47963,0.85907,0.96111,0.98585,0.97833,0.7711,0.81649,0.46752,0.86461,0.0005347,0.0005347,0.0005347
96,555.142,0.74716,0.4949,0.86195,0.95426,0.99365,0.97278,0.80429,0.7552,0.4643,0.84893,0.00052975,0.00052975,0.00052975
97,560.696,0.70944,0.48671,0.85648,0.95317,0.99257,0.97833,0.78948,0.76343,0.44625,0.84875,0.0005248,0.0005248,0.0005248
98,566.352,0.70388,0.48156,0.86511,0.96121,1,0.97278,0.76507,0.8228,0.46223,0.86218,0.00051985,0.00051985,0.00051985
99,571.953,0.75195,0.50015,0.86726,0.95472,0.99477,0.97278,0.76804,0.79021,0.45808,0.86006,0.0005149,0.0005149,0.0005149
100,577.618,0.73358,0.48142,0.87037,0.96437,0.99677,0.96736,0.76569,0.8152,0.4426,0.87039,0.00050995,0.00050995,0.00050995
101,583.329,0.7115,0.48419,0.84791,0.96274,1,0.97278,0.79981,0.77052,0.452,0.85031,0.000505,0.000505,0.000505
