epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,745.659,0.85461,0.6222,1.01266,0.95706,0.96623,0.98944,0.62289,1.33964,0.70507,1.22635,0.00079705,0.00079705,0.00079705
43,756.683,0.8495,0.62935,0.99926,0.93782,0.97888,0.995,0.63267,1.23629,0.65447,1.19331,0.0007921,0.0007921,0.0007921
44,767.557,0.89349,0.63704,1.01582,0.95657,0.9697,0.98944,0.65715,1.20333,0.64894,1.15739,0.00078715,0.00078715,0.00078715
45,779.417,0.85493,0.625,1.01276,0.91571,0.98002,0.98389,0.6206,1.28045,0.71006,1.19845,0.0007822,0.0007822,0.0007822
46,791.823,0.88054,0.64803,1.01064,0.87425,0.9579,0.9569,0.67089,1.10934,0.68933,1.10213,0.00077725,0.00077725,0.00077725
47,803.704,0.85716,0.62186,1.00299,0.93215,0.99588,0.97214,0.6511,1.27042,0.68151,1.20598,0.0007723,0.0007723,0.0007723
48,816.169,0.88622,0.61067,1.0027,0.92946,0.99081,0.95898,0.65616,1.10762,0.654,1.11381,0.00076735,0.00076735,0.00076735
49,827.893,0.88041,0.6035,1.02347,0.9298,0.9819,0.9569,0.64051,1.22745,0.66994,1.18046,0.0007624,0.0007624,0.0007624
50,840.983,0.85559,0.61332,0.98988,0.93823,0.97152,0.97833,0.71187,1.03223,0.62635,1.06233,0.00075745,0.00075745,0.00075745
51,857.834,0.81388,0.58724,0.99585,0.93897,0.97182,0.98389,0.68643,1.15697,0.64118,1.11419,0.0007525,0.0007525,0.0007525
52,868.783,0.81569,0.59697,0.97378,0.93648,0.99238,0.97278,0.74752,0.84628,0.60072,0.98887,0.00074755,0.00074755,0.00074755
53,879.766,0.83215,0.59371,0.97885,0.92923,0.97387,0.96736,0.72562,0.95141,0.64565,1.03737,0.0007426,0.0007426,0.0007426
54,891.926,0.78445,0.56143,0.97234,0.95643,1,0.98389,0.75069,0.93219,0.55585,1.02543,0.00073765,0.00073765,0.00073765
55,902.868,0.79281,0.56113,0.97147,0.95858,0.99747,0.98944,0.64739,1.26148,0.60626,1.17389,0.0007327,0.0007327,0.0007327
56,914.498,0.8201,0.58737,0.98334,0.94062,0.97656,0.995,0.75676,0.91803,0.57042,1.02149,0.00072775,0.00072775,0.00072775
57,926.932,0.83925,0.58141,0.9979,0.86645,0.99208,0.97006,0.70608,1.10195,0.65375,1.14083,0.0007228,0.0007228,0.0007228
58,938.891,0.80854,0.56789,0.9882,0.91553,0.9859,0.97278,0.71286,1.05279,0.6212,1.09153,0.00071785,0.00071785,0.00071785
59,950.901,0.77161,0.56333,0.97006,0.95549,0.98072,0.98389,0.73377,0.9525,0.58747,1.03432,0.0007129,0.0007129,0.0007129
60,961.592,0.74213,0.54068,0.95915,0.94908,0.99591,0.98389,0.71624,1.04516,0.61904,1.09578,0.00070795,0.00070795,0.00070795
61,973.219,0.74077,0.55124,0.95387,0.95217,0.99646,0.98944,0.71478,1.03997,0.59468,1.08553,0.000703,0.000703,0.000703
62,984.241,0.73735,0.54124,0.95829,0.95284,0.99053,0.995,0.72494,1.05496,0.60308,1.08516,0.00069805,0.00069805,0.00069805
63,994.453,0.73246,0.54742,0.94995,0.95595,0.98701,0.995,0.71576,1.0334,0.55673,1.08122,0.0006931,0.0006931,0.0006931
64,1004.82,0.73755,0.53856,0.94048,0.95441,0.98811,0.995,0.71554,1.01915,0.56966,1.06844,0.00068815,0.00068815,0.00068815
65,1017.73,0.76041,0.55059,0.95427,0.92386,0.9864,0.98944,0.71819,0.99197,0.5991,1.04947,0.0006832,0.0006832,0.0006832
66,1028.35,0.73167,0.54589,0.95992,0.95186,0.95331,0.98653,0.72521,0.98631,0.57225,1.06914,0.00067825,0.00067825,0.00067825
67,1041.82,0.77477,0.54092,0.96825,0.95307,0.98603,0.97833,0.69925,1.02529,0.5618,1.09553,0.0006733,0.0006733,0.0006733
68,1055.8,0.75532,0.54759,0.95943,0.9556,0.99823,0.96736,0.73632,0.87191,0.53293,1.01464,0.00066835,0.00066835,0.00066835
69,1068.06,0.74267,0.54289,0.94302,0.95637,0.96431,0.96444,0.73491,0.86666,0.54452,1.00287,0.0006634,0.0006634,0.0006634
70,1080.08,0.72954,0.54466,0.95075,0.9602,1,0.98389,0.71487,0.98592,0.56388,1.06257,0.00065845,0.00065845,0.00065845
71,1091.08,0.70996,0.52438,0.9397,0.94361,0.97903,0.98944,0.75477,0.86486,0.54888,1.01904,0.0006535,0.0006535,0.0006535
72,1103.72,0.71208,0.52218,0.93781,0.95381,0.9893,0.98389,0.72997,0.93769,0.54382,1.0342,0.00064855,0.00064855,0.00064855
73,1114.66,0.76619,0.52075,0.97163,0.95344,0.98433,0.98389,0.72449,0.89954,0.55211,1.00007,0.0006436,0.0006436,0.0006436
74,1126.56,0.74173,0.51996,0.94208,0.95318,0.99631,0.98389,0.70489,1.0207,0.56931,1.06481,0.00063865,0.00063865,0.00063865
75,1139.63,0.74428,0.50396,0.93964,0.94663,0.99185,0.995,0.77066,0.8504,0.5226,0.9954,0.0006337,0.0006337,0.0006337
76,1152.38,0.74304,0.51858,0.94063,0.92271,0.99137,0.98625,0.77837,0.83131,0.52409,0.99434,0.00062875,0.00062875,0.00062875
77,1164.86,0.71563,0.51677,0.94551,0.92054,0.98964,0.98625,0.76052,0.94208,0.5437,1.04721,0.0006238,0.0006238,0.0006238
78,1177.74,0.72281,0.50432,0.92048,0.9618,0.97301,0.995,0.73623,0.96713,0.54305,1.066,0.00061885,0.00061885,0.00061885
79,1190.66,0.72257,0.52534,0.94589,0.95165,0.99253,0.97833,0.71597,1.00576,0.56335,1.08799,0.0006139,0.0006139,0.0006139
80,1202.54,0.7154,0.50299,0.925,0.95507,0.99294,0.97833,0.72154,1.0202,0.54536,1.09525,0.00060895,0.00060895,0.00060895
81,1214.76,0.69637,0.51328,0.92319,0.96108,0.98541,0.96736,0.68143,1.09599,0.56719,1.14888,0.000604,0.000604,0.000604
82,1227.92,0.7029,0.49919,0.94142,0.9515,0.992,0.96736,0.66436,1.07567,0.59104,1.15213,0.00059905,0.00059905,0.00059905
83,1240.88,0.69045,0.49997,0.92146,0.9336,0.98797,0.97278,0.68845,1.04746,0.56886,1.1289,0.0005941,0.0005941,0.0005941
84,1254.74,0.69719,0.49106,0.93371,0.95601,0.99203,0.98944,0.7018,1.04439,0.56766,1.11079,0.00058915,0.00058915,0.00058915
85,1271.07,0.69853,0.50968,0.93964,0.95749,0.9818,0.98944,0.75514,0.91609,0.54755,1.03175,0.0005842,0.0005842,0.0005842
86,1287.96,0.70659,0.50366,0.94479,0.95867,0.98515,0.98389,0.72262,0.99927,0.54537,1.09238,0.00057925,0.00057925,0.00057925
87,1305.13,0.69691,0.49526,0.94279,0.95885,0.98441,0.98389,0.70782,1.03031,0.56805,1.13571,0.0005743,0.0005743,0.0005743
88,1322.2,0.70572,0.49777,0.94031,0.95593,0.99338,0.97833,0.75201,0.87017,0.55263,1.01957,0.00056935,0.00056935,0.00056935
89,1339.04,0.68901,0.50381,0.9335,0.93189,1,0.97542,0.65528,1.15565,0.5824,1.14976,0.0005644,0.0005644,0.0005644
90,1356.32,0.7105,0.50112,0.93057,0.9624,0.96413,0.97542,0.70723,0.91255,0.53784,1.02895,0.00055945,0.00055945,0.00055945
